Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"PushRelabel.exe","31,740",0,100.00,0.00,"",
2,"[3 rows folded ending in "_main"]","31,716",0,99.92,0.00,"PushRelabel.exe",
3,"Graph::Graph(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)","1,444",0,4.55,0.00,"PushRelabel.exe",
4,"Graph::readGraph(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)","1,444",11,4.55,0.03,"PushRelabel.exe",
3,"PushRelabel::calc(class Graph *,class Node *)","30,255",0,95.32,0.00,"PushRelabel.exe",
4,"PushRelabel::preflow(void)","6,030",55,19.00,0.17,"PushRelabel.exe",
8,"[4 rows folded ending in "__free_dbg"]","1,432",25,4.51,0.08,"PushRelabel.exe",
9,"__free_dbg_nolock","1,272",157,4.01,0.49,"PushRelabel.exe",
5,"PushRelabel::discharge(class Node *)","3,623",205,11.41,0.65,"PushRelabel.exe",
6,"PushRelabel::isAdmissible(class Node *,class EdgeEntry *)","1,173",126,3.70,0.40,"PushRelabel.exe",
6,"[3 rows folded ending in "PushRelabel::updateLabels(bool)"]","24,102","1,642",75.94,5.17,"PushRelabel.exe",
7,"Node::getLabel(void)","1,117","1,117",3.52,3.52,"PushRelabel.exe",
8,"[2 rows folded ending in "std::deque<int,class std::allocator<int> >::pop_front(void)"]","2,092",638,6.59,2.01,"PushRelabel.exe",
9,"std::deque<int,class std::allocator<int> >::_Orphan_off(unsigned int)const ","1,174",300,3.70,0.95,"PushRelabel.exe",
7,"EdgeEntry::getNext(void)","2,568","2,568",8.09,8.09,"PushRelabel.exe",
8,"[2 rows folded ending in "std::deque<int,class std::allocator<int> >::push_back(int const &)"]","2,538","1,058",8.00,3.33,"PushRelabel.exe",
9,"std::_Container_base_secure::_Orphan_all(void)const ","1,052",121,3.31,0.38,"PushRelabel.exe",
8,"[2 rows folded ending in "std::deque<int,class std::allocator<int> >::front(void)"]","5,091",306,16.04,0.96,"PushRelabel.exe",
12,"[4 rows folded ending in "std::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>::~_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>(void)"]","1,493",92,4.70,0.29,"PushRelabel.exe",
13,"std::_Iterator_base::~_Iterator_base(void)","1,394",166,4.39,0.52,"PushRelabel.exe",
11,"[3 rows folded ending in "std::_Deque_const_iterator<int,class std::allocator<int>,1>::_Deque_const_iterator<int,class std::allocator<int>,1>(unsigned int,class std::_Container_base_secure const *)"]","1,978",334,6.23,1.05,"PushRelabel.exe",
12,"std::_Iterator_base::_Adopt(class std::_Container_base_secure const *)","1,312",340,4.13,1.07,"PushRelabel.exe",
7,"EdgeEntry::getEndPoint(void)","7,144","7,144",22.51,22.51,"PushRelabel.exe",
